key,company,scenario,ebitda_report_ccy,target_multiple,implied_ev_bn,net_debt_bn,implied_price,current_price,implied_return_pct,earnings_effect_pct,multiple_effect_pct,note
METSO,Metso Oyj,"Bull (+10% EBITDA, peer Q3)",1007.6,26.87,27.07,1.13,31.33,16.11,94.5,10.9,83.6,"Mechanical valuation scenario, not a price target"
METSO,Metso Oyj,Rerate to peer median,916.0,21.55,19.74,1.13,22.48,16.11,39.5,0.0,39.5,"Mechanical valuation scenario, not a price target"
METSO,Metso Oyj,Rerate to sector median,916.0,17.38,15.92,1.13,17.86,16.11,10.9,0.0,10.9,"Mechanical valuation scenario, not a price target"
METSO,Metso Oyj,Rerate to own 5y median,916.0,13.72,12.57,1.13,13.81,16.11,-14.3,0.0,-14.3,"Mechanical valuation scenario, not a price target"
SAND,Sandvik AB,"Bear (-10% EBITDA, peer Q1)",26010.9,8.71,226.46,33.25,154.03,356.0,-56.7,-10.7,-46.0,"Mechanical valuation scenario, not a price target"
SAND,Sandvik AB,"Base (LTM EBITDA, current multiple)",28901.0,16.6,479.81,33.25,356.0,356.0,-0.0,0.0,0.0,"Mechanical valuation scenario, not a price target"
SAND,Sandvik AB,"Bull (+10% EBITDA, peer Q3)",31791.1,26.87,854.19,33.25,654.46,356.0,83.8,10.7,73.1,"Mechanical valuation scenario, not a price target"
SAND,Sandvik AB,Rerate to peer median,28901.0,17.79,514.08,33.25,383.32,356.0,7.7,0.0,7.7,"Mechanical valuation scenario, not a price target"
SAND,Sandvik AB,Rerate to sector median,28901.0,17.38,502.34,33.25,373.96,356.0,5.0,0.0,5.0,"Mechanical valuation scenario, not a price target"
SAND,Sandvik AB,Rerate to own 5y median,28901.0,12.52,361.7,33.25,261.84,356.0,-26.4,0.0,-26.4,"Mechanical valuation scenario, not a price target"
SKFB,SKF AB (B),"Bear (-10% EBITDA, peer Q1)",9862.2,5.79,57.12,-3.47,128.42,257.8,-50.2,-9.9,-40.3,"Mechanical valuation scenario, not a price target"
SKFB,SKF AB (B),"Base (LTM EBITDA, current multiple)",10958.0,10.59,116.03,-3.47,257.8,257.8,0.0,0.0,0.0,"Mechanical valuation scenario, not a price target"
SKFB,SKF AB (B),"Bull (+10% EBITDA, peer Q3)",12053.8,8.97,108.08,-3.47,240.34,257.8,-6.8,9.9,-16.7,"Mechanical valuation scenario, not a price target"
SKFB,SKF AB (B),Rerate to peer median,10958.0,7.38,80.86,-3.47,180.56,257.8,-30.0,0.0,-30.0,"Mechanical valuation scenario, not a price target"
SKFB,SKF AB (B),Rerate to sector median,10958.0,17.38,190.47,-3.47,421.26,257.8,63.4,0.0,63.4,"Mechanical valuation scenario, not a price target"
SKFB,SKF AB (B),Rerate to own 5y median,10958.0,7.72,84.65,-3.47,188.88,257.8,-26.7,0.0,-26.7,"Mechanical valuation scenario, not a price target"
RR,Rolls-Royce Holdings plc,"Bear (-10% EBITDA, peer Q1)",6606.9,17.97,118.72,-1.78,1431.59,1467.8,-2.5,-9.9,7.4,"Mechanical valuation scenario, not a price target"
RR,Rolls-Royce Holdings plc,"Base (LTM EBITDA, current multiple)",7341.0,16.59,121.77,-1.78,1467.8,1467.8,0.0,0.0,0.0,"Mechanical valuation scenario, not a price target"
RR,Rolls-Royce Holdings plc,"Bull (+10% EBITDA, peer Q3)",8075.1,33.14,267.59,-1.78,3200.7,1467.8,118.1,9.9,108.2,"Mechanical valuation scenario, not a price target"
RR,Rolls-Royce Holdings plc,Rerate to peer median,7341.0,23.53,172.74,-1.78,2073.6,1467.8,41.3,0.0,41.3,"Mechanical valuation scenario, not a price target"
RR,Rolls-Royce Holdings plc,Rerate to sector median,7341.0,17.38,127.6,-1.78,1537.09,1467.8,4.7,0.0,4.7,"Mechanical valuation scenario, not a price target"
RR,Rolls-Royce Holdings plc,Rerate to own 5y median,7341.0,11.55,84.79,-1.78,1028.37,1467.8,-29.9,0.0,-29.9,"Mechanical valuation scenario, not a price target"
MRO,Melrose Industries plc,"Bear (-10% EBITDA, peer Q1)",885.6,21.71,19.22,1.74,1374.82,454.3,202.6,-13.0,215.6,"Mechanical valuation scenario, not a price target"
MRO,Melrose Industries plc,"Base (LTM EBITDA, current multiple)",984.0,7.64,7.52,1.74,454.3,454.3,0.0,0.0,0.0,"Mechanical valuation scenario, not a price target"
MRO,Melrose Industries plc,"Bull (+10% EBITDA, peer Q3)",1082.4,28.94,31.32,1.74,2325.82,454.3,412.0,13.0,399.0,"Mechanical valuation scenario, not a price target"
MRO,Melrose Industries plc,Rerate to peer median,984.0,28.6,28.14,1.74,2075.9,454.3,356.9,0.0,356.9,"Mechanical valuation scenario, not a price target"
MRO,Melrose Industries plc,Rerate to sector median,984.0,17.38,17.1,1.74,1208.04,454.3,165.9,0.0,165.9,"Mechanical valuation scenario, not a price target"
MRO,Melrose Industries plc,Rerate to own 5y median,984.0,19.41,19.1,1.74,1364.97,454.3,200.5,0.0,200.5,"Mechanical valuation scenario, not a price target"
