key,company,year,ev_ebitda,basis
SRAIL,Stadler Rail AG,2023,8.38,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
SRAIL,Stadler Rail AG,2024,6.91,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
SRAIL,Stadler Rail AG,2025,7.53,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
SU,Schneider Electric SE,2020,14.91,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
SU,Schneider Electric SE,2021,16.38,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
SU,Schneider Electric SE,2022,12.86,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
SU,Schneider Electric SE,2023,15.2,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
SU,Schneider Electric SE,2024,17.69,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
SU,Schneider Electric SE,2025,16.71,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
TDG,TransDigm,2020,30.04,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
TDG,TransDigm,2021,31.4,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
TDG,TransDigm,2022,28.03,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
TDG,TransDigm,2023,28.51,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
TDG,TransDigm,2024,26.32,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
TDG,TransDigm,2025,23.12,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
TEX,Terex,2020,37.8,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
TEX,Terex,2021,13.73,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
TEX,Terex,2022,11.88,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
TEX,Terex,2023,8.15,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
TEX,Terex,2024,9.64,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
TEX,Terex,2025,9.36,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
TT,Trane Technologies,2020,20.38,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
TT,Trane Technologies,2021,21.39,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
TT,Trane Technologies,2022,16.2,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
TT,Trane Technologies,2023,18.21,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
TT,Trane Technologies,2024,25.13,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
TT,Trane Technologies,2025,21.05,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
VISN,Vistance Networks,2025,35.74,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
VOLVB,Volvo AB (B),2020,9.8,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
VOLVB,Volvo AB (B),2021,8.26,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
VOLVB,Volvo AB (B),2022,7.63,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
VOLVB,Volvo AB (B),2023,7.37,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
VOLVB,Volvo AB (B),2024,8.89,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
VOLVB,Volvo AB (B),2025,11.03,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
VRT,Vertiv Holdings,2020,19.43,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
VRT,Vertiv Holdings,2021,21.69,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
VRT,Vertiv Holdings,2022,12.07,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
VRT,Vertiv Holdings,2023,20.0,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
VRT,Vertiv Holdings,2024,27.56,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
VRT,Vertiv Holdings,2025,30.07,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
WEIR,Weir Group plc,2020,15.19,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
WEIR,Weir Group plc,2021,14.22,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
WEIR,Weir Group plc,2022,11.36,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
WEIR,Weir Group plc,2023,9.99,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
WEIR,Weir Group plc,2024,13.09,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
WEIR,Weir Group plc,2025,15.95,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
WTS,Watts Water,2020,16.47,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
WTS,Watts Water,2021,17.41,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
WTS,Watts Water,2022,13.31,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
WTS,Watts Water,2023,17.26,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
WTS,Watts Water,2024,15.85,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
WTS,Watts Water,2025,17.96,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
